FCG J002828.2-002634   00 28 28.288  -00 26 34.65   2.74                                 003514                      mg
FCG J004938.8+005947   00 49 38.814  +00 59 47.20   0.57                                 006225                      rc sz dl? int
FCG J011527.5-000000   01 15 27.574  -00 00 00.98   1.38                                 009304                      int
FCG J015043.7-081850   01 50 43.762  -08 18 50.06   0.42                                 013599                      butterfly  - (J2000) 01 50 43.550  -08 18 49.28
FCG J015757.1-020625   01 57 57.184  -02 06 25.20   1.26                                 014462                      t atypical
FCG J021216.6-045038   02 12 16.648  -04 50 38.12   1.46                                 017506                      tb?
FCG J031937.6-020248   03 19 37.614  -02 02 48.22   0.70                                 025536                      
FCG J072307.1+261822   07 23 07.138  +26 18 22.86   0.77                                 035616                      
FCG J072532.4+583528   07 25 32.410  +58 35 28.95   1.03                                 037067                      
FCG J074259.5+333952   07 42 59.570  +33 39 52.11   0.80                                 048333                      
FCG J075249.1+325250   07 52 49.111  +32 52 50.87   0.44                                 055747                      sz? dl butterfly
FCG J080454.1+465959   08 04 54.137  +46 59 59.24   0.65                                 065431                      
FCG J081117.2+501016   08 11 17.238  +50 10 16.57   1.02                                 071157                      
FCG J081404.6+060235   08 14 04.687  +06 02 35.86   0.51                                 073779                      t rc? sz?
FCG J082114.7+170204   08 21 14.706  +17 02 04.85   0.83                                 080641                      
FCG J082246.0+520030   08 22 46.026  +52 00 30.07   1.48                                 082115                      nat? sz? w
FCG J082333.6+581210   08 23 33.607  +58 12 10.63   1.22                                 082802                      
FCG J082410.6+620242   08 24 10.617  +62 02 42.58   0.65                                 083507                      core id ambiguous
FCG J083017.7+115246   08 30 17.747  +11 52 46.41   0.84                                 089352                      
FCG J083036.0+351100   08 30 36.020  +35 11 00.12   0.47                                 089642                      
FCG J083405.7+453448   08 34 05.754  +45 34 48.28   0.81                                 093140                      
FCG J083752.9+445025   08 37 52.983  +44 50 25.79   2.44                                 097165                      dd? ring-lobe?
FCG J084057.2+280519   08 40 57.248  +28 05 19.05   0.42                                 100321                      bug int
FCG J084543.0+500244   08 45 43.059  +50 02 44.44   0.69                                 105339                      
FCG J085711.8-033941   08 57 11.802  -03 39 41.19   1.50                                 117673                      
FCG J085950.1-043308   08 59 50.117  -04 33 08.23   0.72                                 120545                      
FCG J090134.8+202421   09 01 34.801  +20 24 21.00   0.81                                 122474                      
FCG J090147.2+164851   09 01 47.220  +16 48 51.43   0.73                                 122709                      
FCG J091011.9+143120   09 10 11.994  +14 31 20.08   0.71                                 131969                      sz? w?
FCG J091405.2+171554   09 14 05.230  +17 15 54.36   0.79                                 136344                      mg butterfly int, catalog didn't capture morphology well
FCG J091524.0+340140   09 15 24.036  +34 01 40.63   1.15                                 137740                      
FCG J091744.5+052303   09 17 44.538  +05 23 03.32   0.91                                 140406                      atypical
