FCG J002839.2+003543   00 28 39.260  +00 35 43.88   0.28                                 003553                      tb int tri triple core with possible lobes to 1.54'
FCG J075954.8+262337   07 59 54.838  +26 23 37.25   0.65                                 061333                      mg tb d+s? unu
FCG J075955.1+445017   07 59 55.123  +44 50 17.97   0.33                                 061335                      mg tb d+s? unu
FCG J083201.9+395547   08 32 01.906  +39 55 47.54   0.31                                 091104                      tb
FCG J092239.9-072428   09 22 39.940  -07 24 28.71   0.52                                 145955                      wat? tb
FCG J092615.3+165110   09 26 15.349  +16 51 10.85   0.54                                 149812                      tb+cj? sz+cj?
FCG J093327.4+182545   09 33 27.417  +18 25 45.94   0.29                                 157849                      tb
FCG J094318.5-000422   09 43 18.536  -00 04 22.00   1.10                                 168639                      tb
FCG J094403.0+363111   09 44 03.055  +36 31 11.93   0.34                                 169482                      mg tb
FCG J100304.9+253702   10 03 04.958  +25 37 02.14   0.40                                 190701                      tb? ring??
FCG J100741.0+042434   10 07 41.073  +04 24 34.65   0.97                                 195851                      tb
FCG J100755.1+301956   10 07 55.188  +30 19 56.02   0.93                                 196135                      tb wat?
FCG J100937.4+231135   10 09 37.496  +23 11 35.78   0.53                                 198138                      tb core id ambiguous
FCG J102939.6+451544   10 29 39.689  +45 15 44.00   0.60                                 220433                      cj tb+rc? sz?
FCG J103441.6+453104   10 34 41.602  +45 31 04.40   0.31                                 225994                      tb
FCG J104354.4+400855   10 43 54.436  +40 08 55.36   0.45                                 236133                      tb
FCG J104542.6+525113   10 45 42.666  +52 51 13.93   0.42                                 238084                      tb+sz
FCG J112829.7+313904   11 28 29.761  +31 39 04.55   1.10                                 285331                      mg tb quad
FCG J124807.0+183812   12 48 07.052  +18 38 12.27   0.45                                 373260                      tb
FCG J124958.6+162643   12 49 58.691  +16 26 43.49   0.60                                 375235                      mg tb
FCG J125125.7+110030   12 51 25.756  +11 00 30.78   0.44                                 376693                      mg tb+d? w?
FCG J125532.8+392439   12 55 32.859  +39 24 39.50   0.81                                 381261                      tb
FCG J125819.4+443149   12 58 19.420  +44 31 49.83   0.38                                 384344                      tb nat?
FCG J132302.5+294131   13 23 02.539  +29 41 31.25   0.86                                 411740                      tbs
FCG J133337.2-013912   13 33 37.293  -01 39 12.97   0.46                                 423242                      tb
FCG J133450.3+312825   13 34 50.386  +31 28 25.48   0.76                                 424620                      tb sz?
FCG J135950.0-010238   13 59 50.085  -01 02 38.92   0.22                                 452318                      rc tb
FCG J142903.6+155713   14 29 03.602  +15 57 13.60   0.46                                 484710                      sz? tb x -  (J2000) 14 29 03.797  +15 57 13.66 core id ambiguous
FCG J143156.1+260032   14 31 56.147  +26 00 32.02   0.38                                 487902                      cj? tb+d?
FCG J143725.7+203358   14 37 25.744  +20 33 58.12   0.30                                 493957                      tb
FCG J145428.7+514535   14 54 28.713  +51 45 35.93   0.84                                 513083                      mg tb dd?
FCG J150502.1+233044   15 05 02.146  +23 30 44.30   0.26                                 524957                      mg tb sz? lobe? dl, if lobe to 2.11', linking grp= 524940
FCG J151251.0-074315   15 12 51.047  -07 43 15.63   1.13                                 533425                      mg d+d tb+s? quad
FCG J152145.4+222731   15 21 45.455  +22 27 31.35   0.22                                 543335                      tb tri
FCG J154121.4+231044   15 41 21.448  +23 10 44.92   0.27                                 564865                      tb
FCG J154720.1+205353   15 47 20.143  +20 53 53.17   0.17                                 571440                      tb rc?
FCG J154850.0+002340   15 48 50.031  +00 23 40.67   0.92                                 572920                      tb
FCG J155009.4+080843   15 50 09.425  +08 08 43.39   0.58                                 574356                      mg tb dl core id ambiguous
FCG J155744.2+213154   15 57 44.200  +21 31 54.97   0.35                                 582091                      tb arc ring? bifurcation int
FCG J160913.6+033456   16 09 13.604  +03 34 56.73   0.39                                 593695                      tb
FCG J162334.8+232053   16 23 34.835  +23 20 53.98   0.31                                 607011                      tb arc ring?
FCG J164333.0+110544   16 43 33.086  +11 05 44.11   0.54                                 624103                      tb arc?
FCG J171248.2+420654   17 12 48.231  +42 06 54.42   0.27                                 644182                      tbs
FCG J171708.6+351927   17 17 08.635  +35 19 27.22   0.48                                 646713                      tbs arc
FCG J215048.9-013828   21 50 48.970  -01 38 28.38   0.44                                 660572                      tb d+s?
