SDSS J083258.34+323003.3 08 32 58.348 +32 30 03.35 19.96 2.75 2.775 2.80 0.88 ---    0.397  1220.   4.28
SDSS J083258.56+323000.0 08 32 58.567 +32 30 00.08 19.59 0.40 0.425 0.50 0.70 ---   *       1220.   4.28
SDSS J084257.37+473342.5 08 42 57.378 +47 33 42.56 19.00 0.50 0.625 0.70 0.51 1.552  1.554     2.0  3.42
SDSS J084257.63+473344.7 08 42 57.638 +47 33 44.74 20.45 0.85 1.775 2.10 0.84 ---    1.681     2.0  3.42
SDSS J085914.77+424123.6 08 59 14.771 +42 41 23.67 21.02 0.95 1.375 1.65 0.66 ---    1.396     4.9  4.28
SDSS J085915.15+424123.5 08 59 15.159 +42 41 23.58 19.22 0.80 0.975 1.40 0.93 0.898  0.902?    4.9  4.28
SDSS J094309.36+103401.3 09 43 09.363 +10 34 01.31 20.07 0.95 1.525 1.70 0.80 ---   O1.431    20.6  4.57
SDSS J094309.66+103400.6 09 43 09.670 +10 34 00.65 19.24 1.05 1.325 1.40 0.99 1.238  1.240    20.6  4.57
SDSS J111053.63+605347.9 11 10 53.633 +60 53 47.97 18.94 0.65 0.775 0.90 0.96 ---    0.793    32.8  5.91
SDSS J111054.10+605343.1 11 10 54.105 +60 53 43.16 20.86 1.55 1.775 2.20 0.68 ---    0.552?   32.8  5.91
SDSS J112556.32+143148.0 11 25 56.321 +14 31 48.10 20.70 0.90 1.325 1.60 0.69 ---   N0.246    18.4  5.19
SDSS J112556.54+143152.1 11 25 56.549 +14 31 52.10 20.38 1.50 1.725 2.15 0.97 ---    1.924    18.4  5.19
SDSS J113637.52+563500.4 11 36 37.526 +56 35 00.48 19.94 1.85 2.075 2.15 0.63 ---    1.282    29.9  5.78
SDSS J113638.09+563503.9 11 36 38.090 +56 35 03.90 19.02 0.60 0.675 0.90 0.56 ---    2.672    29.9  5.78
SDSS J114503.06+660211.3 11 45 03.063 +66 02 11.35 20.09 1.65 1.825 2.00 0.89 ---    1.732    39.3  4.92
SDSS J114503.74+660208.6 11 45 03.741 +66 02 08.67 20.24 0.50 0.675 0.85 0.52 ---    2.304    39.3  4.92
SDSS J123122.27+493433.8 12 31 22.276 +49 34 33.86 20.63 0.50 0.725 0.90 0.53 ---    0.780?   11.5  3.26
SDSS J123122.37+493430.7 12 31 22.378 +49 34 30.75 19.94 1.55 1.775 2.15 0.95 ---    1.811?   11.5  3.26
SDSS J150656.86+505610.5 15 06 56.866 +50 56 10.56 19.22 0.65 0.775 1.00 0.75 ---    0.775?   10.7  4.00
SDSS J150657.18+505607.9 15 06 57.183 +50 56 07.92 19.75 2.00 2.225 2.40 0.45 ---    2.204    10.7  4.00
