SDSS J093014.81+420038.7 09 30 14.816 +42 00 38.71 19.71 1.15 1.425 1.50 0.93 ---    0.544?   36.2  5.50
SDSS J093015.01+420033.6 09 30 15.016 +42 00 33.68 20.03 1.85 2.025 2.15 0.62 ---    ---      36.2  5.50
SDSS J093521.02+641219.8 09 35 21.020 +64 12 19.89 20.99 1.45 1.775 2.10 0.92 ---    1.566    24.2  5.55
SDSS J093521.80+641221.9 09 35 21.807 +64 12 22.00 20.96 0.25 0.375 0.45 0.66 ---    ---      24.2  5.55
SDSS J095840.74+332216.3 09 58 40.746 +33 22 16.31 19.18 1.35 1.475 2.10 0.84 1.891  1.888     6.4  5.33
SDSS J095840.94+332211.5 09 58 40.945 +33 22 11.59 20.64 1.45 1.725 2.10 0.91 ---    ---       6.4  5.33
SDSS J103939.31+100253.0 10 39 39.317 +10 02 53.01 18.42 0.10 0.175 0.25 0.56 0.161  0.161   161.   3.46
SDSS J103939.53+100254.3 10 39 39.532 +10 02 54.40 19.60 0.65 1.125 1.55 0.92 ---    ---     161.   3.46
SDSS J162847.75+413045.4 16 28 47.752 +41 30 45.45 19.81 1.35 1.525 1.70 0.85 ---    ---       8.2  4.22
SDSS J162848.06+413043.1 16 28 48.069 +41 30 43.19 20.40 1.95 2.075 2.20 0.63 ---    0.831?    8.2  4.22
