SDSSJ024634.09-082536.1   2 1.686  0.723  17.76  1.09 0.34 20.78 0.04 DR3                                                1,2,3
SDSSJ074653.04+440351.3   2 1.998  0.513  18.71  1.08 0.97 19.62 0.19 DR5                                                4,5
SDSSJ080623.70+200631.8   2 1.538  0.573  18.89  1.49 0.76 20.16 0.03 DR5                                                2,6,7
SDSSJ091301.02+525928.8   2 1.378 *0.830  16.17  1.11 0.70 18.81 0.45 DR3 SBSG 0909+532                                  3,8,9
SDSSJ092455.79+021924.9   4 1.523  0.394  18.12  1.81 0.43 19.36 0.02 DR3                                                3,49,10,11
SDSSJ095122.57+263513.9   2 1.246  0.260  17.24  1.10 0.33 19.66 0.03 DR7 FBQ0951+2635                                   2,3,12
SDSSJ100120.83+555349.6   2 1.413  0.36   16.68  6.17 0.94 17.11 0.02 DR3 Q0957+561                                      3,13,14
SDSSJ100128.61+502756.8   2 1.841  0.415  17.32  2.86 0.86 19.63 0.03 DR3                                                15
SDSSJ100434.92+411242.7   5 1.740  0.68   18.82 14.72 0.23 18.82 0.18 DR3                                                3,16,17,18,19
SDSSJ102111.01+491330.3   2 1.720 *0.451  18.99  1.14 0.43 19.82 0.21 DR3                                                20
SDSSJ105545.45+462839.4   2 1.249  0.388  18.76  1.15 0.33 19.73 0.05 DR5                                                5
SDSSJ111816.94+074558.2   4 1.735  0.311  15.97  2.43 0.25 18.91 0.02 DR5 PG1115+080                                     3,21,22
SDSSJ120629.64+433217.5   2 1.789 *0.748  18.46  2.90 0.74 19.51 0.03 DR5                                                15
SDSSJ121646.04+352941.4   2 2.013 ~0.55   19.08  1.49 0.41 20.31 0.05 DR5                                                23
SDSSJ122608.02-000602.2   2 1.126  0.517  18.23  1.26 0.62 19.71 0.07 DR3                                                3,24,25
SDSSJ125107.57+293540.5   4 0.802  0.410  18.86  1.79 0.36 18.43 0.25 DR7                                                26
SDSSJ131339.98+515128.4   2 1.877  0.194  17.70  1.24 0.92 17.49 0.02 DR5                                                27
SDSSJ132059.17+164402.5 g 2 1.502 *0.899  18.88  8.59 0.73 21.59 0.10 DR7                                                28
SDSSJ133018.64+181032.1   4 1.393  0.373  18.35  1.76 0.33 17.84 0.01 DR7                                                29
SDSSJ133222.62+034739.9   2 1.438  0.191  17.89  1.14 0.70 18.06 0.02 DR3                                                30
SDSSJ133534.79+011805.5   2 1.571  0.440  17.54  1.63 0.37 19.40 0.02 DR3 LBQS1333+0133                                  3,25,31
SDSSJ135306.34+113804.7   2 1.624 ~0.25   16.47  1.41 0.40 17.80 0.01 DR5                                                6
SDSSJ140515.42+095931.3   2 1.810  0.66   19.05  1.98 0.33 19.70 0.05 DR7 ULAS J1405+0959                                32,33
SDSSJ145501.91+144734.8   2 1.424 ~0.42   18.22  1.73 0.50 18.51 0.07 DR7                                                5
SDSSJ151538.59+151135.8   2 2.054 *0.742  18.05  1.95 0.64 20.02 0.01 DR7                                                32
SDSSJ152445.62+440949.5   2 1.210  0.320  18.76  1.67 0.56 18.33 0.01 DR3                                                23
