J080315.67+483603.1 0.635    2.73 31.08 1.05 1
J081507.41+430427.0 0.510    5.44 31.16 1.90 1
J090947.85+312443.6 0.264    1.81 30.03 0.46 1
J091110.19+140632.6 0.387    5.41 30.88 0.85 1
J094236.68+192541.1 0.540    1.35 30.61 0.21 1
J105104.54+625159.3 0.436    1.74 30.51 0.35 1
J112019.61+130320.0 0.314    1.64 30.16 0.87 1
J115106.69+471157.7 0.318    3.17 30.46 0.67 1
J115523.74+150756.9 0.287    1.64 30.07 0.51 1
J120240.68+263138.6 0.476   61.67 32.14 1.77 1
J124813.82+362423.6 0.207    2.36 29.92 0.81 1
J125327.50+254747.4 0.483    2.87 30.83 1.40 1
J144012.74+615633.0 0.275    3.46 30.36 0.62 1
J145110.04+490813.5 0.156    1.17 29.35 0.37 1
J150243.09+111557.3 0.390    9.2  31.12 1.45 1
J151518.29+551535.3 0.513    2.29 30.79 0.70 1
J151709.20+335324.7 0.135  106.7  31.17 2.62 1
J152506.63+022425.1 0.337    2.72 30.45 0.49 1
J154713.92+103359.8 0.638   49.84 32.35 2.48 1
J161141.95+495847.9 0.116    1.44 29.16 0.40 1
J161826.93+081950.7 0.446  135.23 32.42 2.20 1
J161847.93+215925.4 0.335    2.76 30.45 0.57 1
J171850.29+304201.5 0.282    1.25 29.94 0.54 1
J074129.66+392835.9 0.210    2.84 30.01 1.22 2
J090246.93+012028.2 0.513    1.19 30.51 1.46 2
J090958.32+085542.2 0.158    2.66 29.72 1.35 2
J091459.25+210219.6 0.133    2.76 29.57 1.08 2
J092152.46+515348.0 0.587    2.48 30.96 1.74 2
J094100.81+143614.4 0.383    7.39 31.01 1.64 2
J094205.83+125433.6 0.154    6.14 30.05 0.94 2
J102038.74+212806.5 0.137    5.33 29.88 2.19 2
J102727.90+305902.4 0.124    1.28 29.17 0.20 2
J103326.92+284751.0 0.591    1.21 30.65 0.83 2
J103752.23+312500.3 0.160    1.7  29.53 0.71 2
J111710.07+333950.3 0.128    1.55 29.29 0.43 2
J112319.21+302825.4 0.522    1.15 30.51 1.84 2
J112939.78+605742.6 0.112   25.69 30.38 1.60 2
J115713.07+515511.5 0.564    4.8  31.21 1.26 2
J120526.04+321314.6 0.485    1.5  30.55 1.64 2
J124928.36+353926.8 0.527    2.7  30.89 1.72 2
J131642.90+175332.5 0.150   10.66 30.27 1.33 2
J132855.78+213532.5 0.135    5.68 29.90 1.03 2
J134415.75+331719.1 0.686    9.32 31.69 1.71 2
J140500.14+073014.1 0.135    4.58 29.80 1.25 2
J140816.02+015528.3 0.166    1.1  29.38 0.82 2
J141431.04-003042.9 0.138    2.03 29.47 0.90 2
J144157.24+094859.1 0.220    6.03 30.38 1.46 2
J144541.30+334107.8 0.131    4.38 29.76 1.07 2
J145336.31+204357.5 0.116    1.22 29.09 0.35 2
J151656.59+183021.5 0.580 1296.39 33.67 4.22 2
J162345.20+080851.1 0.199    1.95 29.80 0.65 2
J171544.02+600835.4 0.157   13.22 30.41 1.54 2
