J080315.67+483603.1   51   69
J081542.53+063522.9   73   83
J082857.99+074255.7  247  169
J084049.46+272704.7   73   88
J090246.93+012028.2  341   39
J090615.92+121845.6   84   68
J090947.85+312443.6  350  210
J091459.25+210219.6  322  492
J091649.41+000031.5  211  263
J091654.09+521723.0   98  151
J092455.24+051052.0  196   99
J094100.81+143614.4  122  357
J094144.83+575123.6  278  626
J094205.83+125433.6  950  650
J101241.20+215556.0  611  595
J102004.36+324342.5  112   44
J102038.74+212806.5  123   56
J102045.58+030306.9   89   51
J102727.90+305902.4  903  372
J103326.92+284751.0  652 1157
J103752.23+312500.3   78  372
J104257.96+385347.2  261  181
J111710.07+333950.3  160   56
J112319.21+302825.4  506  331
J112507.33+023719.1  264   77
J112634.84+455935.7  122   49
J113020.99+022211.5   49  395
J115106.69+471157.7  505 2009
J115714.97+081632.0  105   69
J120343.22+283557.8  456  531
J120526.04+321314.6  310  398
J120725.59+460205.1   72  123
J121659.94+323106.0  198  276
J121911.16+042905.9  299  387
J122709.83+124854.5  482  367
J123605.45-014119.1  491  485
J124046.63+512902.1   88   67
J124504.19+372300.1  255   83
J124813.82+362423.6  215  259
J124859.72-025730.7  354  120
J125327.50+254747.4   52  181
J130724.08+460400.9   96  102
J131018.47+250329.5  426  590
J132855.78+213532.5  384  222
J133226.34+060627.3  218   82
J133455.24+612042.1   69   71
J134415.75+331719.1  381  366
J135024.66+240251.4   68   98
J140209.36+621025.8   12   90
J140500.14+073014.1   30   37
J140816.02+015528.3  100  102
J140923.51-012430.5  141  230
J141445.99+370202.1   43  175
J143135.43-011159.8   61   96
J145110.04+490813.5  150  187
J145336.31+204357.5   89  262
J145408.36+240521.3   99  132
J150437.67+541149.6  186  658
J151518.29+551535.3  115   94
J151709.20+335324.7 1714 2434
J151757.36+114452.6  151  279
J151842.95+244026.0  313  310
J151944.90+191353.3  184   97
J153231.80+420342.7  432  493
J153423.19+540809.0  257  338
J153944.11+343503.9  323  537
J154107.81+203608.8   78  154
J154713.92+103359.8   42  102
J155634.15+105616.7  143  256
J155645.97+241828.5  103  223
J161027.41+130806.8  228  164
J161847.93+215925.4  148  343
J161925.50+161032.9  527  212
J162345.20+080851.1  437  186
J170056.01+243928.2  171   91
J171544.02+600835.4  797 1218
J172507.11+274038.4   42  205
J210449.13-000919.1  101  107
