SDSS J1158+1235A         11 58 22.776 +12 35 18.59 19.90 0.45 0.525 0.65 0.55 ---    0.596?    4.0 *3.56
SDSS J1158+1235B         11 58 22.989 +12 35 20.31 20.12 0.40 0.475 0.65 0.63 ---    0.596?    4.0 *3.56
SDSS J1320+3056A         13 20 22.545 +30 56 22.87 18.60 1.35 1.475 1.65 0.90 1.597 P1.595    32.0 *4.74
SDSS J1320+3056B         13 20 22.643 +30 56 18.29 19.92 1.45 1.575 1.80 0.51 ---    1.596    32.0 *4.74
SDSS J1418+2441A         14 18 55.418 +24 41 08.92 19.27 0.45 0.525 0.70 0.96 0.573  0.572     2.8 *4.50
SDSS J1418+2441B         14 18 55.536 +24 41 04.71 20.22 0.40 0.625 0.70 0.86 ---    0.573     2.8 *4.50
SDSS J1426+0719A         14 26 04.266 +07 19 25.86 20.82 0.95 1.175 1.45 0.99 ---    1.312     3.2  4.27
SDSS J1426+0719B         14 26 04.326 +07 19 30.04 20.12 1.00 1.225 1.45 0.97 ---    1.309     3.2  4.27
SDSS J1430+0714A         14 30 02.664 +07 14 15.62 20.27 1.00 1.225 1.40 0.97 ---    1.246    25.6  5.41
SDSS J1430+0714B         14 30 02.886 +07 14 11.33 19.50 1.05 1.375 1.45 0.97 1.258  1.261    25.6  5.41
SDSS J1458+5448A         14 58 26.165 +54 48 14.85 20.79 1.50 1.775 1.95 0.75 ---    1.913    65.6  5.14
SDSS J1458+5448B         14 58 26.728 +54 48 13.19 20.53 1.65 1.925 1.95 0.47 ---    1.912    65.6  5.14
SDSS J1606+2900A         16 06 02.812 +29 00 48.79 18.50 0.50 0.725 1.00 0.65 0.770  0.769?   10.8 *3.45
SDSS J1606+2900B         16 06 03.021 +29 00 50.88 18.42 0.70 0.875 1.00 0.92 ---    0.769?   10.8 *3.45
SDSS J1635+2911A         16 35 10.148 +29 11 20.65 18.83 1.45 1.575 1.80 0.84 1.586  1.582    25.6 *4.92
SDSS J1635+2911B         16 35 10.306 +29 11 16.19 20.43 1.40 1.525 1.85 0.79 ---    1.590    25.6 *4.92
