11 16 10.7 +41 18 14.5 2.995 19.5 g    9 11 16 11.7 +41 18 21.5 2.983 18.6 g   19  13.7 0.10 13.   2272.5
09 09 23.1 +00 02 03.9 1.893 20.2 g   36 09 09 24.0 +00 02 11.0 1.878 16.8 g  102  15.0 0.12 22.   2715.3
03 13 25.5 -31 41 54.3 2.075 20.1 bJ  33 03 13 24.4 -31 41 44.9 1.965 20.0 bJ  31  17.0 0.14  1.3   123.1
02 18 21.4 -29 53 40.9 2.067 20.1 bJ  66 02 18 23.0 -29 53 31.3 1.919 19.2 bJ  77  22.0 0.18  2.6   149.7
11 07 27.1 +00 34 07.3 1.890 20.2 g   29 11 07 25.7 +00 33 53.6 1.881 19.1 g   58  24.8 0.21  2.7   119.5
21 48 36.6 -29 40 54.2 2.098 20.1 bJ 102 21 48 34.9 -29 41 09.9 1.822 19.6 bJ  36  26.7 0.22  1.6    62.4
13 06 34.2 +29 24 43.1 1.978 19.1 V   30 13 06 35.4 +29 25 05.9 1.938 20.6 V   34  27.8 0.23  0.71   25.1
21 43 07.0 -44 50 47.6 3.270 21.3 V   25 21 43 04.1 -44 50 36.0 3.067 21.1 V   24  33.2 0.25  1.1    33.0
14 35 06.4 +00 09 01.5 2.389 20.0 bJ   4 14 35 08.3 +00 08 44.4 2.384 20.1 bJ   2  33.2 0.27  2.     53.8
23 53 13.0 -27 26 09.4 2.308 20.1 bJ  10 23 53 10.0 -27 26 14.1 1.963 18.7 bJ  52  40.3 0.33  4.4    74.1
23 59 45.5 -00 58 19.6 1.820 18.7 g   77 23 59 44.1 -00 57 38.2 1.795 19.5 g   48  46.2 0.38  1.7    21.2
23 09 11.9 -27 32 27.1 1.932 19.4 bJ  30 23 09 15.3 -27 32 45.3 1.927 20.2 bJ   4  49.5 0.41  1.1    12.3
22 32 20.3 -28 38 58.7 2.207 19.9 bJ   7 22 32 23.4 -28 38 29.9 2.073 20.3 bJ  36  50.8 0.42  1.1    12.2
03 06 43.7 -30 11 07.5 2.127 19.8 bJ  18 03 06 40.9 -30 10 31.9 2.099 19.3 bJ  35  51.2 0.42  2.9    30.6
02 56 42.6 -33 15 21.0 1.915 17.0 V   35 02 56 47.0 -33 15 27.0 1.872 16.5 V   19  55.8 0.46 29.    251.2
09 27 47.3 +29 07 20.7 2.304 18.6 g   13 09 27 43.0 +29 07 34.7 2.254 19.1 g    9  57.4 0.47  3.8    33.2
03 10 06.1 -19 21 24.9 2.152 18.6 V   74 03 10 09.0 -19 22 08.1 2.129 19.1 V   37  60.3 0.49  3.3    25.3
21 42 25.9 -44 20 17.0 3.242 18.7 V   12 21 42 22.2 -44 19 30.0 3.227 21.2 V   59  61.5 0.46  1.1    10.0
22 39 51.8 -29 48 37.0 2.130 18.8 bJ  81 22 39 48.6 -29 47 48.7 2.071 20.2 bJ  32  63.6 0.52  1.2     8.6
08 15 18.3 +06 06 04.3 2.536 20.2 g    7 08 15 14.3 +06 05 42.5 2.505 20.4 g    4  64.1 0.51  1.6    11.5
09 14 10.3 +46 10 50.0 2.358 20.2 V    5 09 14 04.1 +46 10 44.9 2.191 21.0 V    2  64.6 0.53  0.57    3.9
10 41 29.3 +56 30 23.0 2.267 19.0 g   11 10 41 21.9 +56 30 01.0 2.051 18.3 g   16  65.1 0.54  6.7    44.3
23 01 17.6 -31 43 59.2 2.140 19.1 bJ  65 23 01 12.4 -31 43 45.0 1.991 19.7 bJ  36  67.8 0.56  1.8    10.8
10 16 05.8 +40 40 05.8 2.995 20.5 g    4 10 16 01.5 +40 40 52.9 2.984 19.6 g    8  68.2 0.52  5.3    36.7
03 10 36.5 -30 51 08.4 2.566 20.4 bJ  13 03 10 41.1 -30 50 27.5 2.546 19.5 bJ  22  71.9 0.57  4.1    23.8
14 57 56.3 +57 44 46.9 2.125 19.7 g    7 14 57 47.5 +57 44 23.5 2.014 19.3 g    9  73.6 0.61  2.6    13.2
12 12 51.1 -00 53 42.2 2.480 20.4 bJ   1 12 12 56.1 -00 53 36.5 2.467 20.8 bJ   2  74.0 0.59  1.2     6.4
00 08 52.7 -29 00 44.1 2.656 19.1 bJ 133 00 08 57.7 -29 01 26.9 2.615 19.8 bJ  89  78.5 0.62  3.4    16.5
00 45 27.5 -32 01 35.4 2.006 19.8 bJ  45 00 45 26.5 -32 00 16.9 1.896 19.0 bJ  68  79.6 0.66  3.2    13.8
01 02 57.4 -27 53 38.8 1.820 19.3 bJ  36 01 02 51.9 -27 53 03.3 1.801 18.2 V   51  81.1 0.67  5.5    23.0
00 44 34.1 +00 19 03.5 1.878 19.2 g   21 00 44 39.3 +00 18 22.8 1.875 18.3 g   30  88.6 0.73  5.6    19.4
15 45 34.6 +51 12 28.0 2.458 19.5 g    4 15 45 44.2 +51 13 07.0 2.252 19.3 g    6  98.3 0.80  3.2     9.4
01 24 53.1 -28 52 51.5 2.100 18.8 bJ  78 01 24 56.4 -28 51 21.0 1.998 19.0 bJ  54 100.7 0.83  3.3     9.0
15 19 19.4 +23 46 02.0 1.907 16.4 V   54 15 19 13.3 +23 46 58.7 1.846 18.4 V   26 101.3 0.84  4.8    12.7
17 36 35.5 +55 28 29.4 1.997 19.9 g   39 17 36 26.7 +55 27 20.7 1.831 20.4 g   29 101.5 0.84  0.76    2.0
11 06 11.1 +13 56 00.0 3.912 21.5 g    6 11 06 16.7 +13 54 58.6 3.854 21.3 g    6 101.7 0.71  3.5    13.0
13 39 39.0 +00 10 22.0 2.124 19.3 g   57 13 39 45.4 +00 09 45.0 1.879 19.3 g   36 102.9 0.85  2.2     5.8
16 23 24.8 +33 10 49.8 2.593 18.1 g   21 16 23 23.7 +33 12 32.6 2.420 19.0 g   13 103.7 0.83  5.     13.6
17 19 32.9 +29 19 29.0 3.303 20.3 g    5 17 19 37.9 +29 18 05.0 3.075 20.7 g    3 106.5 0.81  2.1     6.0
14 22 39.9 +42 02 20.4 3.228 19.5 g    9 14 22 49.2 +42 02 46.2 3.077 20.1 g    4 106.9 0.81  3.7    10.6
13 21 47.7 +01 06 04.8 2.138 20.1 g   54 13 21 54.3 +01 06 51.9 1.983 20.1 g   22 110.6 0.91  1.2     2.7
17 27 56.4 +58 21 55.7 2.373 19.3 g   49 17 28 06.8 +58 20 39.2 2.019 19.4 g   37 111.6 0.92  2.4     5.3
11 08 19.1 -00 58 24.0 4.567 23.5 g    7 11 08 13.9 -00 59 44.5 4.027 21.0 g   11 113.0 0.78  5.3    16.6
11 52 00.5 +45 17 41.4 2.406 19.2 g   10 11 52 10.4 +45 18 25.8 2.311 19.1 g    9 113.4 0.92  4.      8.9
16 12 45.6 +23 58 00.0 2.040 19.6 g   22 16 12 37.9 +23 57 09.0 2.018 19.4 V   19 117.2 0.97  2.3     4.7
15 09 32.2 +50 57 51.5 2.377 18.8 g   11 15 09 25.6 +50 56 09.3 2.375 19.0 g   12 119.7 0.96  4.7     9.4
13 46 21.4 -00 38 05.0 1.895 20.1 bJ  12 13 46 25.6 -00 39 47.0 1.851 19.3 bJ  10 119.9 0.99  2.2     4.1
02 09 54.8 -10 02 23.0 1.980 19.6 r   16 02 10 00.1 -10 03 54.0 1.979 19.3 g   51 120.0 0.99  2.5     4.8
15 08 38.1 +60 35 40.1 2.188 19.0 g   13 15 08 27.7 +60 34 07.4 1.901 18.1 g   20 120.5 1.00  6.9    13.0
10 05 41.3 +57 05 44.0 2.324 18.1 g   12 10 05 38.5 +57 07 44.0 1.874 18.9 g    4 122.1 1.01  3.2     5.9
00 55 57.5 -32 55 39.0 2.257 19.6 V   41 00 56 05.3 -32 56 51.1 2.134 19.6 V    5 122.5 1.00  2.1     3.9
10 19 22.9 +55 24 31.0 3.728 21.5 g    3 10 19 37.0 +55 23 55.0 3.236 20.5 g    4 125.4 0.93  3.      6.5
15 48 50.2 +53 38 43.0 2.192 19.8 g    4 15 48 40.8 +53 37 08.6 2.172 18.8 g   10 126.1 1.03  4.8     8.4
11 04 11.6 +02 46 55.0 2.534 18.3 g   20 11 04 03.0 +02 47 20.0 2.368 21.0 g    2 131.3 1.06  0.73    1.2
20 53 02.9 -01 02 25.0 3.217 21.1 g    3 20 53 03.7 -01 04 42.0 3.118 20.6 g    4 137.5 1.04  2.4     4.3
12 13 10.7 +12 07 15.1 3.487 20.3 g    4 12 13 03.3 +12 08 39.0 3.377 20.8 g    5 137.9 1.01  3.1     5.8
07 55 35.6 +40 58 02.9 2.423 19.0 g   17 07 55 45.6 +40 56 43.6 2.346 19.3 g   12 138.2 1.11  3.4     5.2
11 43 17.0 +13 24 00.8 2.520 18.9 g   12 11 43 23.4 +13 25 42.0 2.517 18.8 g   13 138.3 1.10  7.     10.9
23 26 14.3 -29 37 22.3 2.393 19.1 bJ  25 23 26 03.5 -29 37 40.4 2.318 20.6 bJ  20 141.2 1.14  1.2     1.7
13 02 16.9 -03 38 03.7 3.758 21.1 g    6 13 02 08.2 -03 37 10.5 3.718 20.6 g    6 141.2 1.00  6.     11.3
15 59 22.7 +52 00 27.0 3.122 20.3 g    5 15 59 17.4 +52 02 44.0 3.035 19.2 g   12 145.5 1.10  8.1    12.5
03 33 24.8 -06 10 03.4 2.157 18.8 g   38 03 33 20.9 -06 12 16.8 2.042 18.4 g   49 145.7 1.20  6.1     8.0
13 12 13.3 +00 02 31.2 2.892 20.9 g    2 13 12 13.8 +00 00 03.0 2.675 19.5 g    9 148.4 1.17  4.3     6.0
